Partida,STEEVE,FRANCOIS,ALONSO,JIMMY,RICK,YURIKO,BARBARA,SHELDA,Won,Lost
1,1,1,1,0,0,0,0,0,0,1
2,0,1,1,1,0,0,0,0,0,1
3,0,0,0,1,1,1,0,0,1,0
4,0,0,0,1,0,1,1,0,1,0
5,1,1,0,0,0,0,1,0,0,1
6,0,0,0,0,1,1,0,1,1,0
7,0,1,0,1,0,1,0,0,1,0
8,1,1,0,1,0,0,0,0,1,0
9,0,1,0,0,0,1,1,0,0,1
10,0,1,0,0,0,1,1,0,0,1
11,1,1,0,0,0,0,1,0,0,1
12,0,1,0,0,1,1,0,0,1,0
13,1,0,0,0,1,1,0,0,0,1
14,0,1,0,0,0,1,1,0,0,1
15,0,0,0,1,1,0,1,0,1,0
16,0,1,0,0,0,1,1,0,0,1
17,1,0,0,0,1,0,1,0,0,1
18,0,1,0,0,0,1,1,0,0,1
19,1,0,0,1,0,0,0,1,0,1
20,0,1,0,1,0,1,0,0,0,1
21,1,1,0,0,0,0,0,1,1,0
22,0,0,0,1,1,0,1,0,1,0
23,0,0,0,1,1,1,0,0,0,1
24,0,0,1,0,0,1,1,0,1,0
25,0,1,0,1,0,1,0,0,1,0
26,1,0,0,1,1,0,0,0,0,1
27,1,0,0,0,1,0,1,0,0,1
28,0,0,0,1,0,1,0,0,1,0
29,1,0,0,0,1,0,0,1,0,1
30,1,0,0,0,0,1,1,0,1,0
31,0,0,0,1,1,0,1,0,0,1
32,0,1,0,1,0,0,0,1,1,0
33,1,0,0,0,1,0,0,1,0,1
34,0,0,0,0,1,1,1,0,1,0
35,0,0,0,1,1,1,0,0,0,1
36,1,1,0,0,0,0,0,1,0,1
37,0,0,0,1,1,0,0,0,1,0
38,1,0,0,1,0,1,0,0,0,1
39,0,0,0,0,0,1,1,0,1,0
40,0,0,0,1,0,1,0,0,1,0
41,0,0,1,0,0,1,1,0,0,1
42,0,1,0,1,0,1,0,0,1,0
43,1,0,0,1,1,0,0,0,1,0
44,1,0,0,0,1,0,1,0,0,1
45,0,0,0,1,0,1,0,0,1,0
46,1,0,0,0,1,0,0,1,0,1
47,1,0,0,0,0,1,1,0,0,1
48,0,0,0,1,1,0,1,0,0,1
49,0,1,0,1,0,0,0,1,0,1
50,1,0,0,0,1,0,0,1,1,0
51,0,0,0,0,1,1,1,0,0,1
52,0,0,0,1,1,1,0,0,1,0
53,1,1,0,0,0,0,0,1,0,1
54,0,0,0,1,1,0,0,0,0,1
55,1,0,0,1,0,1,0,0,1,0
56,0,0,0,0,1,0,0,1,0,1
57,1,0,0,0,0,1,1,0,1,0
58,0,1,0,1,1,0,0,0,1,0
59,0,0,0,1,0,0,0,1,0,1
60,0,0,0,0,1,0,0,1,0,1
61,0,0,0,0,0,1,1,0,1,0
62,0,0,0,1,0,1,0,0,0,1
63,0,0,0,0,1,0,0,1,1,0
64,0,1,0,1,0,0,0,0,0,1
65,1,0,0,1,0,0,0,0,0,1
66,0,1,0,0,0,1,0,0,0,1
67,0,1,1,0,0,0,1,0,0,1
68,0,1,0,0,0,0,1,0,0,1
69,0,1,0,0,1,0,0,0,0,1
70,0,1,0,1,0,1,0,0,1,0
71,1,1,0,1,0,0,0,0,1,0
72,0,1,0,0,0,1,1,0,0,1
73,0,1,0,0,0,1,1,0,0,1
74,1,1,0,0,0,0,1,0,0,1
75,0,1,0,0,1,1,0,0,1,0
76,1,0,0,0,1,1,0,0,1,0
77,0,1,0,0,0,0,1,0,0,1
78,0,0,0,1,1,0,1,0,0,1
79,0,1,0,0,0,1,1,0,0,1
